timestamp,gold_price,oil_price,dxy,eurusd,jpy
2026-06-01 00:00:01.982033+00:00,2349.77,78.08,104.0069,1.07939,149.912
2026-06-01 00:00:04.619479+00:00,2349.87,78.09,103.9821,1.0797,149.974
2026-06-01 00:00:09.559952+00:00,2351.34,78.14,103.959,1.07984,149.911
2026-06-01 00:00:11.716681+00:00,2353.58,78.19,103.9144,1.08026,149.906
2026-06-01 00:00:13.574542+00:00,2352.26,78.2,103.9322,1.08041,149.943
2026-06-01 00:00:18.564485+00:00,2357.24,78.33,103.8454,1.08063,150.03
2026-06-01 00:00:20.954414+00:00,2356.19,78.26,103.8594,1.08089,150.076
2026-06-01 00:00:25.922474+00:00,2354.91,78.22,103.8815,1.0812,150.098
2026-06-01 00:00:27.707453+00:00,2356.78,78.3,103.8704,1.08075,150.081
2026-06-01 00:00:29.353233+00:00,2355.05,78.24,103.913,1.08049,150.156
2026-06-01 00:00:31.578473+00:00,2350.66,78.12,103.9745,1.08074,150.22
2026-06-01 00:00:34.894913+00:00,2349.43,78.16,103.9783,1.08035,150.144
2026-06-01 00:00:36.370313+00:00,2347.8,78.1,104.0182,1.08023,150.161
2026-06-01 00:00:39.370922+00:00,2349.14,78.19,103.9818,1.08014,150.14
2026-06-01 00:00:41.981602+00:00,2346.82,78.06,104.0163,1.08031,150.178
2026-06-01 00:00:45.844014+00:00,2348.47,78.08,103.9908,1.07979,150.08
2026-06-01 00:00:48.502826+00:00,2344.28,78.01,104.0101,1.07969,150.179
2026-06-01 00:00:52.005796+00:00,2344.3,77.91,104.0138,1.0794,150.161
2026-06-01 00:00:54.851008+00:00,2344.66,78.01,103.9894,1.07923,150.063
2026-06-01 00:00:55.862052+00:00,2344.4,78.04,103.9845,1.07977,150.052
2026-06-01 00:01:00.482365+00:00,2342.18,77.98,104.0416,1.08006,150.083
2026-06-01 00:01:02.146852+00:00,2344.65,78.04,103.9735,1.07996,149.99
2026-06-01 00:01:06.887569+00:00,2346.09,77.98,103.9295,1.08008,150.056
2026-06-01 00:01:08.658195+00:00,2354.22,78.17,103.8436,1.07941,150.082
2026-06-01 00:01:10.160448+00:00,2351.89,78.06,103.8629,1.07978,150.099
2026-06-01 00:01:13.794022+00:00,2350.52,77.92,103.8546,1.07978,150.233
2026-06-01 00:01:15.619600+00:00,2352.0,77.89,103.8228,1.07949,150.186
2026-06-01 00:01:16.686441+00:00,2356.51,78.12,103.7347,1.07982,150.22
2026-06-01 00:01:18.950218+00:00,2356.2,78.06,103.7457,1.07969,150.138
2026-06-01 00:01:23.483270+00:00,2353.34,78.09,103.7857,1.07967,150.164
2026-06-01 00:01:24.744531+00:00,2356.92,78.16,103.7649,1.07983,150.281
2026-06-01 00:01:28.262396+00:00,2356.19,78.07,103.7903,1.08041,150.274
2026-06-01 00:01:30.032409+00:00,2356.91,77.95,103.7806,1.08064,150.252
2026-06-01 00:01:31.846161+00:00,2356.84,77.98,103.8068,1.0807,150.304
